id	sample_description	title	study_ref	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	filetype	library_nominal_length	library_nominal_sdev
63	366344_0993-LP1-16S-0160	Must-20-AUG-2022-gt120-Block1_pPNA_0.5	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
64	366344_0992-LP1-16S-0161	DNA18-pos-1_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
65	366344_0991-LP1-16S-0162	Must-20-AUG-2022-gt48-Block2_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
66	366344_0990-LP1-16S-0163	Must-20-AUG-2022-gt48-Block1_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
67	366344_0989-LP1-16S-0164	Must-27-AUG-2022-gt110-Block1_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
68	366344_0988-LP1-16S-0165	Must-27-AUG-2022-gt147-Block2_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
69	366344_0987-LP1-16S-0166	Must-20-AUG-2022-gt64-Block2_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
70	366344_0986-LP1-16S-0167	Must-20-AUG-2022-gt5-Block2_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
71	366344_0985-LP1-16S-0168	Must-20-AUG-2022-gt120-Block1_pPNA_0.75	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
72	366344_0984-LP1-16S-0169	DNA18-pos-1_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
73	366344_0983-LP1-16S-0170	Must-20-AUG-2022-gt48-Block2_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
74	366344_0982-LP1-16S-0171	Must-20-AUG-2022-gt48-Block1_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
75	366344_0981-LP1-16S-0172	Must-27-AUG-2022-gt110-Block1_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
76	366344_0980-LP1-16S-0173	Must-27-AUG-2022-gt147-Block2_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
